No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Company,Industry,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Industry,Country,Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
1227,CNET,"ChinaNet Online Holdings, Inc.",Services,Advertising Agencies,China,15.4,,,,0.46,0.6,12.84,51.34,,,-0.6,47.90%,,-18.70%,10.00%,-4.90%,29.70%,40.00%,"ChinaNet Online Holdings, Inc.",Advertising Agencies,7.42,,,0.30%,90.33%,1.03%,2.71,-24.10%,-31.60%,-28.50%,2.3,2.3,0,0.02,27.00%,-20.60%,-24.30%,11.21%,22.86%,2.15%,Advertising Agencies,China,-25.22%,29.00%,-1.21,0.09,10.34%,8.55%,7.36%,15.70%,-10.14%,-10.42%,32.99%,-46.25%,32.99%,60.06,-0.77%,2.36%,3,28.2,0.1,1.29,1.57%,2689,2/28/2017 16:30
1228,CNFR,"Conifer Holdings, Inc.",Financial,Property & Casualty Insurance,USA,56.08,,21,,0.64,0.75,6.6,4.42,,,-0.83,90.90%,149.30%,,15.00%,,-191.20%,27.90%,"Conifer Holdings, Inc.",Property & Casualty Insurance,3.77,9.70%,8.76%,28.90%,13.02%,0.96%,2.45,-3.30%,-8.30%,0.90%,,,0.19,0.19,,-7.30%,-7.20%,2.08%,5.76%,-6.96%,Property & Casualty Insurance,USA,15.38%,-9.82%,,0.34,5.55%,4.22%,2.76%,2.30%,-0.33%,-9.82%,10.53%,-18.51%,38.16%,55.5,1.38%,-1.36%,2.7,14.79,0.96,7.35,0.00%,14218,2/8/2017 16:30
1229,CNHI,CNH Industrial N.V.,Industrial Goods,Farm & Construction Machinery,United Kingdom,12761.43,,18.82,,0.51,2.89,2.54,,1.27%,,-0.19,-199.40%,24.32%,-19.50%,20.00%,-5.80%,-58.90%,-2.00%,CNH Industrial N.V.,Farm & Construction Machinery,984.13,,,,,1.52%,11.21,-0.50%,-5.70%,6.30%,,,5.69,5.69,21.40%,8.50%,-1.00%,-1.36%,4.31%,17.29%,Farm & Construction Machinery,United Kingdom,52.69%,8.52%,0.87,0.17,1.45%,1.45%,0.76%,4.57%,21.53%,-2.48%,12.26%,-2.48%,59.53%,57.55,-1.46%,1.81%,3.3,1338.35,1.37,9.43,0.32%,1834576,1/31/2017 8:30
1230,CNHX,CSOP MSCI China A International Hdgd ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.90%,,,,,,,,,,CSOP MSCI China A International Hdgd ETF,Exchange Traded Fund,,,,,,,,,,,,,,,,,,1.69%,1.69%,3.00%,Exchange Traded Fund,USA,17.53%,1.69%,,0.03,0.00%,0.00%,1.56%,0.05%,3.94%,-7.03%,1.69%,-7.03%,13.64%,64.46,0.00%,0.00%,,0.07,,25.93,0.00%,0,
1231,CNI,Canadian National Railway Company,Services,Railroads,Canada,54602.77,20.03,17.36,2.95,5.93,4.84,405.37,52.95,1.59%,31.90%,3.58,6.30%,9.09%,11.60%,6.78%,5.90%,11.90%,1.60%,Canadian National Railway Company,Railroads,760.54,0.20%,0.00%,77.80%,0.72%,1.20%,8.85,10.00%,24.50%,15.60%,0.7,0.6,0.64,0.74,78.00%,44.10%,30.20%,1.59%,4.13%,13.34%,Railroads,Canada,27.98%,6.32%,1.08,0.92,0.92%,1.26%,2.23%,3.60%,12.12%,-0.24%,7.63%,-0.24%,32.04%,66.15,0.50%,-0.36%,2.8,1028.17,0.54,71.66,0.14%,559758,1/24/2017 16:30
1232,CNIT,"China Information Technology, Inc.",Technology,Application Software,China,33,,,,3.84,2.23,11.79,,,,-0.22,66.80%,,-17.10%,23.00%,-42.50%,,-90.00%,"China Information Technology, Inc.",Application Software,23.77,47.88%,0.00%,1.20%,3.78%,0.53%,1.48,,,-86.10%,0.7,0.6,0,0.45,38.40%,,,-3.37%,2.82%,-6.74%,Application Software,China,-34.80%,11.39%,2.08,0.05,6.65%,5.02%,-4.35%,0.75%,-16.20%,-13.76%,14.57%,-54.94%,14.57%,46.17,-3.14%,0.98%,3,85.3,0.66,0.8,-2.20%,56332,
1233,CNK,"Cinemark Holdings, Inc.",Services,"Movie Production, Theaters",USA,4911.89,20.94,18.34,1.4,1.68,4.02,9.32,,2.54%,53.00%,2.03,12.30%,18.73%,7.70%,15.00%,5.90%,41.40%,9.80%,"Cinemark Holdings, Inc.","Movie Production, Theaters",105.61,0.20%,-4.94%,91.40%,1.17%,5.15%,7.44,5.70%,20.30%,9.40%,1.8,1.8,1.63,1.65,49.80%,14.60%,8.10%,1.00%,6.74%,2.38%,"Movie Production, Theaters",USA,46.59%,10.66%,0.93,0.66,1.31%,1.52%,1.06%,5.10%,11.43%,-1.12%,11.71%,-1.12%,53.05%,59.84,0.71%,-0.28%,2.3,731.19,0.54,42.45,0.43%,393934,2/23/2017 8:30
1234,CNMD,CONMED Corporation,Healthcare,Medical Appliances & Equipment,USA,1207.13,83.02,20.4,13.84,1.58,2.09,44.06,1005.94,1.84%,151.80%,0.52,-52.10%,13.10%,82.00%,6.00%,1.00%,-14.90%,6.90%,CONMED Corporation,Medical Appliances & Equipment,27.47,0.20%,-5.79%,99.10%,-0.07%,4.92%,9.09,1.10%,2.50%,3.10%,2.9,1.7,0.84,0,54.20%,4.90%,1.90%,-0.37%,-0.30%,-1.80%,Medical Appliances & Equipment,USA,16.08%,-1.52%,0.76,1.03,2.40%,2.34%,0.50%,-1.23%,2.67%,-5.72%,8.18%,-12.47%,24.10%,49.37,0.16%,0.09%,2.3,148.65,1.24,43.5,0.25%,183809,2/1/2017 16:30
1235,CNNX,CONE Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,1399.22,15.34,13.32,1.11,5.85,4.27,218.63,28.15,4.48%,64.60%,1.59,32.40%,4.34%,,13.80%,,1.70%,-1.70%,CONE Midstream Partners LP,Oil & Gas Pipelines,5.2,0.10%,9.52%,48.10%,-0.13%,5.11%,1.64,10.20%,27.60%,25.40%,1.2,1.2,0.47,0.47,70.60%,55.10%,39.30%,3.62%,2.25%,9.88%,Oil & Gas Pipelines,USA,159.99%,4.46%,,0.75,3.33%,3.43%,2.21%,5.38%,27.74%,-3.75%,19.95%,-3.75%,213.89%,59.08,1.33%,0.13%,2.2,162.01,0.66,24.33,1.46%,107612,2/16/2017 8:30
1236,CNO,"CNO Financial Group, Inc.",Financial,Accident & Health Insurance,USA,3631.5,10.32,12.61,1.06,0.9,0.81,5.43,,1.53%,15.20%,2.03,44.90%,11.42%,11.80%,9.77%,-0.70%,83.40%,2.50%,"CNO Financial Group, Inc.",Accident & Health Insurance,171.6,0.93%,-8.34%,95.10%,-3.41%,0.93%,1.18,1.10%,8.10%,5.40%,,,0.94,0.94,,11.70%,8.90%,1.80%,8.68%,20.75%,Accident & Health Insurance,USA,20.98%,9.24%,1.25,0.47,1.77%,2.15%,6.03%,7.71%,19.21%,-1.83%,14.81%,-1.83%,46.93%,65.6,0.58%,-0.48%,2.8,1357.68,1.24,20.92,0.10%,1687974,2/7/2017 16:30
1237,CNOB,"ConnectOne Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,821.09,24.76,13.43,1.24,5.09,1.45,3.65,,1.18%,29.00%,1.02,-25.60%,14.70%,4.70%,20.00%,25.40%,-121.10%,11.60%,"ConnectOne Bancorp, Inc.",Regional - Northeast Banks,29.49,5.10%,-0.61%,67.70%,10.46%,2.96%,6.51,0.70%,6.20%,13.60%,,,0.1,0.1,,56.70%,19.30%,1.60%,4.11%,16.82%,Regional - Northeast Banks,USA,65.04%,-2.31%,0.95,0.64,1.89%,2.67%,0.69%,-0.20%,28.86%,-4.88%,5.85%,-4.88%,70.59%,51.08,-1.36%,0.00%,1.5,134.17,1.95,25.35,-1.36%,261260,1/26/2017
1238,CNP,"CenterPoint Energy, Inc.",Utilities,Gas Utilities,USA,11417.38,,20.55,,1.58,3.29,10.53,,4.04%,,-0.42,-213.70%,8.77%,-28.50%,6.90%,-3.40%,145.40%,15.90%,"CenterPoint Energy, Inc.",Gas Utilities,429.52,0.10%,-3.85%,76.90%,0.03%,1.68%,2.22,-0.80%,-5.10%,10.80%,1.1,0.9,2.23,2.62,,13.00%,-2.50%,1.09%,5.26%,15.33%,Gas Utilities,USA,50.33%,8.68%,0.54,0.34,1.43%,1.33%,2.46%,5.84%,14.79%,0.15%,12.80%,0.15%,53.66%,66.84,0.38%,0.15%,2.7,3242.19,0.72,26.51,0.53%,2342384,2/28/2017 8:30
1239,CNQ,Canadian Natural Resources Limited,Basic Materials,Independent Oil & Gas,Canada,33736.74,,29.25,,4.47,1.69,70.67,,2.53%,,-0.44,-116.30%,256.10%,-18.90%,76.63%,-0.80%,-191.60%,-25.00%,Canadian Natural Resources Limited,Independent Oil & Gas,1083.41,3.30%,0.00%,66.60%,-2.93%,1.17%,4.9,-1.10%,-2.40%,-1.40%,0.7,0.6,0.59,0.67,37.70%,-16.10%,-6.50%,-0.30%,-0.86%,-4.55%,Independent Oil & Gas,Canada,50.95%,-5.68%,1.52,0.7,1.54%,1.95%,-0.18%,-4.56%,-2.42%,-14.77%,5.95%,-14.77%,61.72%,45.44,-0.17%,-0.73%,1.8,2583.47,0.92,30.07,-0.89%,2367696,3/2/2017 8:30
1240,CNS,"Cohen & Steers, Inc.",Financial,Asset Management,USA,1622.88,17.99,16.83,1.9,4.64,6.23,6.79,,2.89%,51.40%,2,42.30%,11.41%,10.10%,9.49%,8.10%,339.00%,9.40%,"Cohen & Steers, Inc.",Asset Management,19.94,42.00%,0.00%,45.60%,0.85%,10.32%,13.26,,36.10%,31.90%,,,0,0,88.70%,38.70%,26.60%,3.42%,1.49%,7.81%,Asset Management,USA,26.54%,7.14%,1.45,0.81,1.96%,2.10%,2.24%,3.03%,-4.91%,-4.61%,8.47%,-15.54%,27.40%,58.28,1.93%,-0.14%,2.8,155.24,0.85,36,1.78%,132107,1/18/2017 16:30
1241,CNSF,iShares Edge MSCI Mltfctr Cnsmr Stpls,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,iShares Edge MSCI Mltfctr Cnsmr Stpls,Exchange Traded Fund,,,,,,,,,,,,,,,,,,,,,Exchange Traded Fund,USA,,1.77%,,0.24,,,0.88%,0.88%,0.88%,-0.16%,1.77%,-0.16%,1.77%,,0.00%,0.00%,,0.11,10.53,25.23,0.00%,0,
1242,CNSL,"Consolidated Communications Holdings, Inc.",Technology,Telecom Services - Domestic,USA,1302.78,67.77,41.89,33.89,1.72,6.31,39.01,69.67,5.99%,405.10%,0.38,-105.10%,-8.85%,-15.10%,2.00%,15.10%,177.20%,-1.30%,"Consolidated Communications Holdings, Inc.",Telecom Services - Domestic,49.14,0.40%,-6.50%,67.50%,5.07%,9.26%,11.09,0.90%,8.50%,2.70%,0.9,0.9,6.68,6.75,57.00%,11.90%,2.50%,0.35%,-1.26%,-3.67%,Telecom Services - Domestic,USA,31.76%,-2.16%,1.28,0.47,1.73%,1.80%,0.14%,-2.02%,2.67%,-6.55%,3.19%,-13.10%,38.95%,47.82,0.54%,0.12%,3.4,410.45,0.94,25.89,0.66%,386402,2/23/2017 8:30
1243,CNTF,China Techfaith Wireless Communication Technology Limited,Technology,Networking & Communication Devices,China,18.79,,,,0.37,0.01,2.44,,,,-4.26,4.70%,,-19.70%,25.00%,-25.00%,61.90%,41.70%,China Techfaith Wireless Communication Technology Limited,Networking & Communication Devices,2.11,0.30%,0.00%,81.10%,-0.02%,0.80%,0.38,-2.20%,-3.30%,-4.20%,0.9,0.8,0.05,0.17,14.80%,-13.90%,-17.60%,-3.23%,-13.04%,-13.88%,Networking & Communication Devices,China,-43.75%,-2.70%,1.74,0.12,4.12%,5.34%,-5.26%,-5.24%,-19.87%,-24.05%,13.92%,-61.04%,15.38%,45.19,1.12%,0.00%,,43.91,0.26,1.8,1.12%,11400,11/23/2016 8:30
1244,CNTR,PowerShares Contrarian Opportunities ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.52%,,,,,,,,,,PowerShares Contrarian Opportunities ETF,Exchange Traded Fund,,,,,,,0.55,,,,,,,,,,,0.30%,3.21%,7.77%,Exchange Traded Fund,USA,43.43%,2.56%,,0.18,0.04%,0.10%,1.22%,1.28%,13.41%,-1.71%,3.64%,-1.71%,43.43%,55.57,0.00%,-0.39%,,2.33,0.07,30.5,-0.39%,168,
1245,CNTY,"Century Casinos, Inc.",Services,Resorts & Casinos,USA,163.78,24.7,14.27,0.99,1.21,1.28,4.96,13.21,,0.00%,0.28,865.90%,36.83%,62.50%,25.00%,17.20%,-28.30%,3.00%,"Century Casinos, Inc.",Resorts & Casinos,21.7,0.30%,-5.31%,74.90%,1.17%,0.81%,4.05,3.40%,5.30%,9.20%,1.6,1.6,0.4,0.44,50.00%,10.50%,5.00%,2.07%,-7.14%,3.77%,Resorts & Casinos,USA,7.32%,-16.28%,-0.29,0.16,2.35%,2.18%,-1.18%,-6.61%,4.46%,-16.69%,5.35%,-16.69%,29.03%,41.73,2.99%,-0.15%,1.7,43.25,3.77,6.89,2.84%,162930,3/10/2017 8:30
1246,CNV,Cnova N.V.,Services,"Specialty Retail, Other",Netherlands,2381.82,,,,1.56,,12.27,,,,-0.49,33.30%,47.80%,,,,-87.10%,2.80%,Cnova N.V.,"Specialty Retail, Other",100.63,,,2.60%,-6.27%,0.03%,0.16,,,-30.50%,0.9,0.7,,,12.70%,,,0.17%,-2.02%,-1.66%,"Specialty Retail, Other",Netherlands,111.77%,-1.84%,,0.08,1.31%,1.55%,-0.66%,-1.39%,3.01%,-2.20%,2.65%,-2.20%,157.37%,46.57,1.11%,-0.75%,3.3,170.49,0,5.38,0.35%,467,2/23/2017 8:30
1247,CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,USA,3907.38,,17.72,,1.97,1.02,64.58,16.27,0.24%,,-2.38,-50.90%,119.77%,-22.80%,35.70%,-14.10%,-884.70%,26.90%,CONSOL Energy Inc.,Independent Oil & Gas,226.86,0.50%,4.31%,84.70%,2.18%,14.38%,9.22,-11.00%,-26.00%,-5.10%,0.7,0.6,0.73,0.73,33.10%,-19.20%,-54.70%,-0.47%,-7.58%,-8.33%,Independent Oil & Gas,USA,115.25%,-7.08%,1.47,0.56,2.11%,3.44%,-4.61%,-8.89%,-3.18%,-24.17%,5.02%,-24.17%,133.33%,38.97,-0.41%,-0.12%,2.3,3538.69,1.26,16.94,-0.53%,4473480,1/31/2017 6:45
1248,CNXC,CNX Coal Resources LP,Basic Materials,Nonmetallic Mineral Mining,USA,395.48,20.69,7.44,,1.41,2.74,40.35,22.22,11.95%,244.40%,0.83,-15.50%,23.26%,,,,12.20%,24.20%,CNX Coal Resources LP,Nonmetallic Mineral Mining,6.61,0.70%,3.53%,62.80%,-0.94%,0.82%,0.68,4.20%,12.90%,10.10%,0.8,0.6,1.36,1.37,,12.30%,6.90%,6.19%,-4.19%,-10.91%,Nonmetallic Mineral Mining,USA,178.86%,-6.03%,,0.61,3.54%,3.36%,-4.54%,-5.05%,19.02%,-15.93%,7.19%,-23.09%,183.94%,45.16,-0.29%,1.47%,1.9,79.92,0.71,17.15,1.18%,56835,1/30/2017 16:30
1249,CNXN,"PC Connection, Inc.",Services,Computers Wholesale,USA,737.29,15.51,12.54,0.8,0.27,1.71,14.99,66.42,,0.00%,1.8,2.30%,10.01%,36.60%,19.50%,5.10%,-3.90%,7.50%,"PC Connection, Inc.",Computers Wholesale,11.24,3.70%,,40.00%,-0.05%,1.71%,4.84,7.50%,11.50%,11.10%,2.4,2,0,0,13.80%,3.00%,1.80%,4.64%,3.29%,7.79%,Computers Wholesale,USA,20.35%,-0.43%,1.41,0.67,2.18%,2.41%,2.09%,0.57%,9.82%,-4.82%,7.06%,-4.82%,31.11%,55.7,0.61%,0.14%,2,39.63,1.19,27.97,0.76%,47017,2/1/2017 16:30
1250,CNXR,"Connecture, Inc.",Healthcare,Health Care Plans,USA,49.42,,,,0.55,,2.96,,,,-0.72,47.80%,68.30%,,15.00%,,-30.10%,8.80%,"Connecture, Inc.",Health Care Plans,21.7,4.30%,107.36%,58.20%,-1.45%,0.66%,3.1,-18.20%,38.30%,-8.90%,0.6,0.6,,,39.40%,-10.70%,-17.70%,5.84%,16.42%,17.04%,Health Care Plans,USA,-23.72%,31.67%,,0.15,11.06%,7.19%,14.97%,21.41%,15.65%,-8.22%,42.71%,-37.51%,92.35%,67.55,12.86%,-1.51%,2,46.46,10.81,2.21,11.16%,502462,3/13/2017 16:30
1251,CNXT,VanEck Vectors ChinaAMC SME-ChiNext ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,VanEck Vectors ChinaAMC SME-ChiNext ETF,Exchange Traded Fund,,,,,,,1.09,,,,,,,,,,,-0.24%,3.21%,-8.28%,Exchange Traded Fund,USA,-11.33%,1.42%,,0.2,0.47%,0.39%,0.20%,-0.64%,-8.31%,-7.90%,3.29%,-18.04%,3.29%,50.13,0.35%,-0.91%,,8.64,0.42,29.25,-0.56%,3647,
1252,CNY,Market Vectors Chinese Renminbi/USD ETN,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,Market Vectors Chinese Renminbi/USD ETN,Exchange Traded Fund,,,,,,,4.85,,,,,,,,,,,2.12%,2.85%,2.42%,Exchange Traded Fund,USA,-1.87%,6.27%,,0.22,0.64%,0.35%,2.49%,3.54%,1.08%,0.00%,9.07%,-3.49%,9.07%,70.94,0.00%,0.00%,,0.59,0.51,41.5,0.00%,0,
1253,CNYA,iShares MSCI China A,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,iShares MSCI China A,Exchange Traded Fund,,,,,,,,,,,,,,,,,,0.62%,2.76%,-1.21%,Exchange Traded Fund,USA,,5.63%,,0.14,0.43%,0.13%,0.74%,1.57%,0.92%,-2.77%,5.63%,-5.28%,7.86%,56.13,-0.04%,-0.11%,,0.75,0.67,26.1,-0.15%,501,
1254,CO,China Cord Blood Corporation,Healthcare,Medical Laboratories & Research,Hong Kong,438.68,33.3,,1.11,4.4,1.74,,,,0.00%,0.18,-8.30%,,-1.00%,30.00%,14.30%,-11.10%,7.30%,China Cord Blood Corporation,Medical Laboratories & Research,24.69,49.60%,0.00%,26.20%,-1.11%,1.23%,2.58,1.90%,5.30%,5.00%,3.5,3.5,0.24,0.55,78.40%,28.90%,13.30%,2.89%,3.06%,20.48%,Medical Laboratories & Research,Hong Kong,2.36%,-0.98%,0.92,0.11,1.49%,1.86%,3.28%,8.98%,11.39%,-5.75%,41.92%,-5.75%,41.92%,69.75,1.51%,-0.67%,3,118.31,0.19,6.06,0.83%,22693,2/27/2017 16:30
1255,COBO,ProShares USD Covered Bond,Financial,Exchange Traded Fund,USA,,,,,,,,,1.52%,,,,,,,,,,ProShares USD Covered Bond,Exchange Traded Fund,,,,,,,15.52,,,,,,,,,,,-0.04%,1.72%,-3.75%,Exchange Traded Fund,USA,1.52%,1.78%,,0.18,0.00%,0.01%,0.26%,0.91%,0.66%,-0.42%,2.08%,-4.54%,5.41%,56.27,0.00%,0.13%,,0.25,0.53,101.62,0.13%,132,
1256,COBZ,CoBiz Financial Inc.,Financial,Regional - Southwest  Banks,USA,733.98,23.93,16.9,2.39,5.82,2.44,7.5,23.53,1.14%,25.00%,0.74,-9.40%,16.82%,23.50%,10.00%,0.90%,47.20%,7.00%,CoBiz Financial Inc.,Regional - Southwest  Banks,37.13,4.30%,-6.35%,81.60%,0.65%,2.44%,8.01,0.90%,10.70%,23.60%,,,0.44,0.44,,88.40%,24.00%,2.15%,3.27%,17.73%,Regional - Southwest  Banks,USA,66.95%,4.55%,1.27,0.44,2.18%,2.22%,1.08%,3.57%,27.18%,-1.95%,14.37%,-1.95%,71.76%,56.34,-0.45%,0.00%,2.7,113.1,0.63,17.61,-0.45%,71351,1/26/2017 16:30
1257,CODI,Compass Diversified Holdings LLC,Conglomerates,Conglomerates,USA,1000.32,67.21,9.82,9.6,1.14,1.13,37.89,,8.67%,419.80%,0.25,-108.60%,18.75%,23.40%,7.00%,9.80%,394.70%,36.50%,Compass Diversified Holdings LLC,Conglomerates,56.24,2.00%,6.56%,38.10%,8.81%,0.91%,1.64,1.20%,2.30%,2.30%,2.7,1.3,0.9,0.9,33.30%,4.30%,2.10%,-2.64%,-5.95%,-10.63%,Conglomerates,USA,22.81%,-5.39%,0.71,0.29,1.21%,1.76%,-4.38%,-5.28%,-0.66%,-13.15%,-0.08%,-13.15%,28.86%,31.85,-0.30%,-0.30%,1.7,311.69,0.77,16.6,-0.60%,239130,3/1/2017 16:30
1258,COF,Capital One Financial Corporation,Financial,Credit Services,USA,44390.13,13.28,10.31,1.55,1.94,0.93,4.45,,1.74%,23.00%,6.91,-1.00%,12.50%,-0.30%,8.56%,8.80%,-6.60%,11.60%,Capital One Financial Corporation,Credit Services,481.36,0.80%,-38.66%,91.30%,-1.23%,2.45%,4.15,1.00%,7.30%,14.10%,,,0.89,0.89,,63.00%,15.30%,3.86%,6.36%,14.97%,Credit Services,USA,42.76%,5.72%,1.2,1.59,1.75%,1.68%,4.13%,3.89%,22.68%,0.49%,7.62%,0.49%,60.78%,63.75,1.63%,-0.19%,2.4,2845.98,1.42,91.81,1.44%,4044661,1/24/2017 16:30
1259,COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,USA,10754.24,,50.24,,9.6,3.75,21.46,,0.35%,,-0.54,-210.00%,309.10%,-25.60%,64.99%,9.50%,41.20%,1.70%,Cabot Oil & Gas Corporation,Independent Oil & Gas,458.14,1.10%,-0.06%,96.50%,1.87%,3.43%,2.35,-4.30%,-8.80%,-0.40%,3.3,3.3,0.53,0.53,50.90%,-25.50%,-21.00%,-3.99%,2.90%,6.69%,Independent Oil & Gas,USA,16.48%,-0.98%,0.63,0.72,2.51%,2.98%,1.21%,1.75%,-2.38%,-6.54%,12.46%,-13.41%,23.82%,52.35,0.43%,-0.48%,2.3,6665.3,0.56,23.11,-0.04%,3747814,2/24/2017 8:30
1260,COGT,"Cogint, Inc.",Technology,Business Software & Services,USA,194.81,,,,1.36,0.84,18.73,,,,-2.68,89.80%,50.00%,-42.60%,,,34.30%,5107.20%,"Cogint, Inc.",Business Software & Services,12.32,36.10%,1.71%,6.10%,40.64%,16.88%,13.31,-18.80%,-26.20%,-10.80%,1.5,1.5,0.21,0.22,26.00%,-44.00%,-39.30%,-1.33%,-3.90%,7.25%,Business Software & Services,USA,,7.25%,0.41,0.17,4.22%,4.25%,-1.00%,1.29%,-5.70%,-11.90%,17.46%,-40.51%,27.59%,49.81,1.37%,0.00%,1.5,156.2,0.46,3.7,1.37%,71752,3/2/2017 16:30
1261,COH,"Coach, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,10717.9,21.02,16.32,2.12,2.36,3.81,5.84,238.18,3.53%,73.80%,1.82,13.60%,9.29%,-10.80%,9.92%,1.60%,16.00%,3.80%,"Coach, Inc.",Textile - Apparel Footwear & Accessories,280.02,0.10%,-0.82%,86.60%,-4.95%,2.82%,2.38,10.90%,18.80%,13.70%,3.9,3.2,0.21,0.21,68.60%,15.30%,11.20%,0.37%,8.86%,2.48%,Textile - Apparel Footwear & Accessories,USA,10.47%,9.11%,0.47,0.72,1.45%,2.16%,3.33%,5.11%,1.77%,-1.67%,11.86%,-11.01%,13.16%,63.72,1.16%,-0.50%,2.3,3316.68,1.5,38.21,0.66%,4967322,1/31/2017 8:30
1262,COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA,4708.35,48.53,17.28,3.88,4.65,5.09,13.07,41.41,,0.00%,3.99,17.20%,13.59%,-0.40%,12.50%,1.30%,48.80%,81.90%,"Coherent, Inc.",Scientific & Technical Instruments,24.26,0.20%,-64.57%,95.90%,1.43%,3.49%,3.33,7.30%,11.00%,9.90%,3.6,2.4,0.73,0.74,43.30%,14.10%,9.60%,-1.82%,32.47%,50.22%,Scientific & Technical Instruments,USA,135.67%,40.91%,0.9,5.98,2.98%,3.08%,14.52%,28.63%,67.36%,-3.46%,51.00%,-3.46%,149.65%,80.91,0.96%,0.01%,1.6,253.96,0.99,193.6,0.97%,251929,2/7/2017 16:30
1263,COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,USA,422.05,141.62,11.23,14.16,1.54,1.74,,,1.53%,,0.11,27.90%,20.38%,17.78%,10.00%,-1.80%,-75.80%,11.30%,"Cohu, Inc.",Semiconductor Equipment & Materials,26.26,3.40%,-0.65%,88.80%,4.05%,0.74%,2.47,,,,3.6,2.9,,,32.60%,,,19.18%,19.36%,32.99%,Semiconductor Equipment & Materials,USA,37.98%,13.09%,0.89,0.51,3.69%,2.90%,18.62%,17.00%,33.19%,8.94%,27.70%,8.94%,58.72%,77.5,-1.26%,16.72%,2.3,78.24,9.66,15.72,15.25%,755807,2/16/2017 16:30
1264,COKE,Coca-Cola Bottling Co. Consolidated,Consumer Goods,Beverages - Soft Drinks,USA,1630.72,66.89,17.79,,0.56,6.12,30.09,,0.56%,28.20%,2.65,87.50%,37.24%,9.90%,,8.80%,-9.80%,37.20%,Coca-Cola Bottling Co. Consolidated,Beverages - Soft Drinks,7.45,34.78%,0.00%,47.60%,-3.18%,2.07%,5.65,1.60%,13.30%,11.00%,1.3,1,3.2,3.23,38.60%,3.50%,1.10%,0.03%,6.56%,7.26%,Beverages - Soft Drinks,USA,0.68%,-0.85%,0.16,2.92,1.02%,1.75%,3.63%,3.20%,16.58%,-3.76%,11.33%,-3.76%,48.52%,63.2,0.87%,0.25%,3,27.29,0.72,177.06,1.13%,19762,3/8/2017 16:30
1265,COL,"Rockwell Collins, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,12234.85,16.66,16.14,2.49,2.32,5.53,39.72,35.57,1.41%,23.30%,5.61,6.00%,7.36%,6.90%,6.68%,1.80%,9.80%,2.10%,"Rockwell Collins, Inc.",Aerospace/Defense Products & Services,130.34,0.40%,-3.57%,81.20%,0.51%,5.48%,5.67,9.60%,35.30%,18.40%,1.5,0.6,0.62,1.03,31.60%,19.40%,14.00%,2.51%,5.15%,7.15%,Aerospace/Defense Products & Services,USA,10.25%,1.12%,0.79,1.06,1.02%,1.15%,2.76%,1.70%,7.78%,-1.92%,5.63%,-2.85%,19.91%,66.55,0.07%,-0.14%,2.4,1259.51,0.67,93.46,-0.06%,839819,1/20/2017 6:30
1266,COLB,"Columbia Banking System, Inc.",Financial,Savings & Loans,USA,2384.86,25.77,17.71,2.86,5.81,1.88,10.17,,2.15%,42.00%,1.59,10.50%,15.93%,10.93%,9.00%,,14.90%,3.70%,"Columbia Banking System, Inc.",Savings & Loans,57.39,0.10%,-0.72%,91.60%,-0.68%,4.13%,5.9,,,,,,0,0,,,,4.38%,1.20%,7.76%,Savings & Loans,USA,51.19%,-7.79%,1.34,0.96,2.08%,2.28%,2.32%,-2.50%,21.10%,-9.81%,7.45%,-9.81%,61.32%,53.58,0.02%,-0.32%,3,402.05,1.66,40.97,-0.29%,666831,1/26/2017 8:00
